execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
131 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
132 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
133 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
134 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
135 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
136 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
137 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
138 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
139 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
140 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
141 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
142 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
143 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
144 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
145 715 1308 846 1447 780.5 1308.0 1933.375 865.75 1923.5 -670.1875 1928.4375 97.78125 
146 366 -1376 233 -1405 299.5 -1376.0 1932.8 865.9 1923.0 -669.3 1927.9 98.3 
147 260 -1332 169 -1510 214.5 -1332.0 1931.22222222 865.444444444 1921.66666667 -668.444444444 1926.44444444 98.5 
148 210 -1419 374 -1369 292.0 -1419.0 1931.22222222 865.444444444 1921.66666667 -668.444444444 1926.44444444 98.5 
149 269 -1496 28 -1104 148.5 -1496.0 1931.0 865.25 1921.625 -668.75 1926.3125 98.25 
150 411 -1179 801 -1805 606.0 -1179.0 1930.16666667 865.0 1921.83333333 -668.666666667 1926.0 98.1666666667 
151 411 -1179 443 -1180 427.0 -1179.0 1930.16666667 865.0 1921.83333333 -668.666666667 1926.0 98.1666666667 
152 391 -1214 800 -1810 595.5 -1214.0 nan nan nan nan nan nan 
153 410 -1135 -214 -1641 98.0 -1135.0 nan nan nan nan nan nan 
154 1697 -1493 226 -1296 961.5 -1493.0 nan nan nan nan nan nan 
155 1787 -1637 902 -1162 1344.5 -1637.0 nan nan nan nan nan nan 
156 1742 -1685 2410 -705 2076.0 -1685.0 nan nan nan nan nan nan 
157 2555 -1042 1863 -2177 2209.0 -1042.0 nan nan nan nan nan nan 
158 83 -760 387 -1214 235.0 -760.0 nan nan nan nan nan nan 
159 359 -1121 263 -1207 311.0 -1121.0 nan nan nan nan nan nan 
160 354 -1296 -333 -1913 10.5 -1296.0 nan nan nan nan nan nan 
161 354 -1296 -333 -1913 10.5 -1296.0 nan nan nan nan nan nan 
162 472 -1466 71 -863 271.5 -1466.0 nan nan nan nan nan nan 
163 1729 -1629 2526 -730 2127.5 -1629.0 nan nan nan nan nan nan 
164 2459 -730 1732 -1712 2095.5 -730.0 nan nan nan nan nan nan 
165 2712 -1145 1745 -2121 2228.5 -1145.0 nan nan nan nan nan nan 
166 2585 -1042 1980 -2293 2282.5 -1042.0 nan nan nan nan nan nan 
167 353 -1321 231 -1404 292.0 -1321.0 nan nan nan nan nan nan 
168 34 -730 381 -1238 207.5 -730.0 nan nan nan nan nan nan 
169 1865 -1842 50 -661 957.5 -1842.0 nan nan nan nan nan nan 
170 1831 -1764 216 -1467 1023.5 -1764.0 nan nan nan nan nan nan 
171 873 -954 291 -1313 582.0 -954.0 nan nan nan nan nan nan 
172 1785 -1788 303 -1354 1044.0 -1788.0 nan nan nan nan nan nan 
173 1817 -1712 2413 -679 2115.0 -1712.0 nan nan nan nan nan nan 
174 2394 -1021 1766 -2160 2080.0 -1021.0 nan nan nan nan nan nan 
175 2611 -981 1953 -2151 2282.0 -981.0 nan nan nan nan nan nan 
176 2467 -851 2062 -2223 2264.5 -851.0 nan nan nan nan nan nan 
177 1982 -2193 302 -1349 1142.0 -2193.0 nan nan nan nan nan nan 
178 1982 -2193 302 -1349 1142.0 -2193.0 nan nan nan nan nan nan 
179 1982 -2193 302 -1349 1142.0 -2193.0 nan nan nan nan nan nan 
180 1982 -2193 302 -1349 1142.0 -2193.0 nan nan nan nan nan nan 
181 1982 -2193 302 -1349 1142.0 -2193.0 nan nan nan nan nan nan 
182 28 -584 46 -407 37.0 -584.0 nan nan nan nan nan nan 
183 384 -1312 -382 -2060 1.0 -1312.0 nan nan nan nan nan nan 
184 1712 -1647 368 -1964 1040.0 -1647.0 nan nan nan nan nan nan 
185 2426 -803 1665 -1749 2045.5 -803.0 nan nan nan nan nan nan 
186 2156 1228 2190 -861 2173.0 1228.0 nan nan nan nan nan nan 
187 1961 1025 2072 -905 2016.5 1025.0 nan nan nan nan nan nan 
188 1985 1047 2168 -947 2076.5 1047.0 nan nan nan nan nan nan 
189 1995 1049 1990 -866 1992.5 1049.0 nan nan nan nan nan nan 
190 1939 1009 1982 -873 1960.5 1009.0 nan nan nan nan nan nan 
191 1937 1016 1997 -873 1967.0 1016.0 nan nan nan nan nan nan 
192 1938 1013 1967 -860 1952.5 1013.0 1959.16666667 1026.5 nan nan nan nan 
