u v u_raw v_raw uestimate vestimate distance angle 
761.952208443 -190.158028504 765 -187 810.002904148 -216.898819919 785.322382054 -14.0128844163 
768.680855539 -192.750066941 795 -195 865.707465504 -230.127075857 792.478924627 -14.076914803 
770.869161264 -192.78026934 789 -193 802.151660888 -193.21202186 794.609020862 -14.0406490226 
778.653114491 -190.680976129 813 -198 890.565177976 -160.498852961 801.660718362 -13.7601198937 
782.798111377 -193.154710767 825 -201 845.844083062 -230.78055421 806.276395207 -13.8608023174 
784.185277624 -192.994086265 829 -201 803.942230861 -190.706364237 807.584835776 -13.8261615448 
789.138715216 -192.994086265 846 -206 860.367177375 -192.994086265 812.395611255 -13.7426747556 
802.178009431 -194.301110772 844 -206 965.765381376 -210.69867806 825.374145744 -13.6157766046 
820.239362606 -197.546236166 862 -208 1070.53962885 -242.518268006 843.692555017 -13.5412178443 
825.350547649 -201.18601175 860 -209 898.724095289 -253.436760832 849.517120386 -13.6991636207 
831.049056137 -201.18601175 828 -189 912.242550629 -201.18601175 855.054585995 -13.6087329364 
832.721397543 -200.95961053 842 -194 856.681927567 -197.715839123 856.626926375 -13.5676967277 
835.88163443 -204.247121632 868 -212 881.889716662 -252.108116403 860.473702953 -13.731126088 
850.718188585 -205.259303349 873 -214 1045.0450663 -218.516701979 875.130172032 -13.5649313803 
853.693509285 -207.106332784 879 -215 901.959313612 -237.068938599 878.456396684 -13.6365238946 
856.504137027 -210.050557253 888 -220 901.228938927 -256.901249777 881.884671227 -13.7793658466 
864.458226265 -210.711128732 904 -224 992.67870029 -221.35958711 889.768062322 -13.6986817269 
871.675429667 -213.009524084 907 -224 978.261288008 -246.952926775 897.324418499 -13.7321316924 
882.450144689 -216.773013255 939 -228 987.459509555 -253.451626722 908.685202442 -13.8013758259 
886.160283306 -219.049341751 935 -225 936.251860089 -249.782663448 912.832219979 -13.8845753841 
886.555117889 -219.049341751 889 -204 892.865105577 -219.049341751 913.215522851 -13.8786308815 
893.296892857 -219.049341751 957 -229 1004.17363411 -219.049341751 919.761900119 -13.777893569 
897.581164251 -220.272828304 900 -201 967.606636887 -240.270446633 924.214296204 -13.7883051918 
899.337524262 -221.573729059 908 -204 916.724312873 -234.45177586 926.230478852 -13.8405643912 
915.547806165 -224.165606456 957 -224 1177.52320777 -266.053102679 942.591112037 -13.7578222837 
915.547806165 -224.344770164 964 -221 915.547806165 -227.271190262 942.633736546 -13.7683998897 
922.259070937 -223.51008971 922 -200 1019.62657554 -211.40048658 948.956560717 -13.6230125645 
926.960874429 -213.441468699 931 -202 1002.71226815 -51.2245500673 951.216969615 -12.9668803303 
934.740968409 -215.114760713 981 -225 1008.42416958 -230.962064408 959.174143886 -12.9600027939 
939.638051974 -212.951846157 976 -222 1019.21905618 -177.802984573 963.466739176 -12.7693414794 
951.471642867 -222.99647069 986 -228 1145.7065475 -387.867531881 977.254170173 -13.1903426752 
955.589825824 -222.99647069 985 -228 1022.67690878 -222.99647069 981.264154628 -13.1354729408 
972.889456811 -224.835072993 974 -226 1128.9246072 -241.418466423 998.531274033 -13.0126268007 
970.495188725 -222.920123722 929 -209 934.454081355 -194.094240492 995.768192352 -12.9362913198 
977.261590088 -222.766712286 975 -233 1084.22345455 -220.341616232 1002.32989757 -12.8411558487 
977.974113017 -224.186556854 969 -231 989.293535573 -246.742772187 1003.34090817 -12.9111652658 
977.388022905 -228.049356866 973 -232 967.846382411 -290.936357086 1003.64030234 -13.1335859733 
977.234309785 -228.59760344 976 -233 974.740698814 -237.491533064 1003.6153449 -13.1660603044 
975.866589528 -229.049546164 969 -229 962.415737788 -233.494179147 1002.38679917 -13.2090209476 
970.768907585 -229.630558357 960 -227 904.604467777 -237.171700919 997.558251565 -13.308412992 
970.271395307 -229.85016278 967 -230 963.131459166 -233.001766528 997.124705281 -13.3272734512 
968.673741447 -230.630550643 956 -235 946.576622649 -241.424079662 995.750605452 -13.3921588518 
967.14521667 -231.211047163 960 -245 945.303314313 -239.506070249 994.398520945 -13.4450953256 
966.273228406 -231.833022182 952 -247 954.031349088 -240.564955213 993.695376918 -13.4916654598 
964.645675711 -231.641060943 962 -254 940.889812978 -228.839182471 992.067971856 -13.50281488 
965.253227696 -235.822787532 983 -259 973.040927395 -289.424835955 993.642883886 -13.7290985412 
965.833932293 -239.728988243 987 -249 975.098336674 -302.047459856 995.140780278 -13.9396399119 
964.954493419 -241.044688558 971 -229 951.30768815 -261.461236564 994.605306768 -14.0254051189 
964.085123981 -239.218134381 986 -230 949.822193371 -209.251569738 993.320412605 -13.9353413998 
971.45731511 -241.973996728 1027 -234 1086.05186366 -284.811573227 1001.13971561 -13.9868106312 
976.220556755 -243.531982013 1093 -259 1021.45246937 -258.326665866 1006.13836111 -14.0073411509 
983.256406332 -243.876568742 1070 -237 1074.14381384 -248.327856986 1013.0493282 -13.929932789 
996.761946025 -243.649201478 1047 -228 1216.40045053 -239.951562808 1026.10881997 -13.7360666021 
1018.29714551 -245.142549193 1127 -254 1373.48655141 -269.772982171 1047.38910915 -13.5356936309 
1029.09549252 -243.508330562 1173 -260 1207.31145482 -216.537179739 1057.51304473 -13.3126788743 
1072.80966915 -245.146558785 1136 -252 1754.24736136 -270.684051331 1100.46236715 -12.8715968405 
1082.94080408 -246.141237071 1143 -254 1191.78732487 -256.827825642 1110.56125168 -12.8051880772 
