u v u_raw v_raw uestimate vestimate distance angle 
1195.65577068 -7.49838636395 1194 -8 1184.85635344 -19.1034803037 1195.67928298 -0.359317681639 
1195.38162306 -7.49797135016 1189 -7 1190.79448277 -7.49102718449 1195.40513815 -0.35938019381 
1196.28251214 -7.59528142763 1204 -6 1205.00059213 -8.53697009428 1196.30662339 -0.36377002782 
1197.78278438 -7.79570030509 1207 -8 1218.93081951 -10.6208312056 1197.80815305 -0.372901017607 
1198.11808817 -7.79570030509 1200 -10 1202.32214775 -7.79570030509 1198.14344974 -0.372796660952 
1198.11808817 -6.90056137706 1192 -7 1198.11808817 6.1996557046 1198.1379599 -0.329991405201 
1197.3100376 -7.49982231704 1196 -7 1185.70911424 -16.1032197417 1197.33352641 -0.358889955352 
1195.40922402 -7.57249553257 1195 -8 1167.41557944 -8.64276785906 1195.43320833 -0.362943686883 
1195.31188593 -7.57249553257 1207 -9 1193.90375452 -7.57249553257 1195.33587218 -0.362973241766 
1198.9886225 -7.50117635925 1205 -6 1252.32438825 -6.46660054877 1199.0120869 -0.358452225036 
1199.99422072 -7.40161059437 1192 -6 1214.51755798 -5.96363351657 1200.01704721 -0.353398094296 
1200.49184125 -6.75425707155 1203 -6 1208.84019442 4.10609839492 1200.51084164 -0.322356493719 
1198.18926202 -6.85944512299 1197 -5 1161.68916441 -8.52686837718 1198.20889648 -0.328005745279 
1198.18926202 -6.85590378468 1205 -8 1198.18926202 -6.82283849116 1198.20887621 -0.327836408848 
1197.38839323 -6.39831837626 1196 -5 1185.92639084 0.150625859046 1197.40548801 -0.306160600729 
1199.57309835 -6.39420871141 1206 -7 1231.38039068 -6.33437578005 1199.59014008 -0.305406734465 
1201.354047 -6.39360831826 1202 -7 1221.72337521 -6.3867414133 1201.37106027 -0.304925358927 
1201.354047 -6.39360831826 1195 -8 1201.354047 -6.39360831826 1201.37106027 -0.304925358927 
1198.15270031 -6.49509068547 1196 -7 1152.15330303 -7.95326694238 1198.17030487 -0.310592830534 
1198.15270031 -6.66534724389 1188 -7 1198.15270031 -9.10195734178 1198.1712399 -0.318734270264 
1198.55170412 -7.1417645245 1201 -10 1204.30624314 -14.0127812701 1198.57298161 -0.341402145056 
1197.54575286 -7.14282072472 1196 -6 1182.89029182 -7.15820825096 1197.56705453 -0.341739451115 
1197.68736408 -7.42679318768 1198 -8 1199.03975953 -10.1387469276 1197.71039043 -0.355283410193 
1196.97884218 -7.4269609253 1191 -8 1187.12633237 -7.42929343836 1197.0018832 -0.355501734775 
1197.17581147 -7.4269609253 1191 -5 1200.04780369 -7.4269609253 1197.1988487 -0.355443246184 
1194.50348939 -7.56841896254 1190 -8 1154.88837316 -9.66542538998 1194.52746604 -0.36302335261 
1194.50348939 -7.70817556493 1200 -8 1194.50348939 -9.74880225148 1194.5283597 -0.369726670035 
1195.3106154 -7.65897201163 1202 -9 1207.40441837 -6.92171653152 1195.33515264 -0.367118605524 
1193.20420205 -7.79309861093 1187 -6 1164.97189361 -9.59080062497 1193.22965107 -0.374206954831 
1195.16980429 -7.79319769687 1201 -7 1224.62467204 -7.79468251557 1195.1952121 -0.373596293321 
1195.14011874 -7.65491691314 1195 -7 1194.71086205 -5.6553594274 1195.16463351 -0.366976580577 
1192.68987413 -7.56195277485 1191 -7 1156.5040973 -6.18903696767 1192.71384623 -0.36326473696 
1192.02556621 -7.56133167029 1194 -8 1182.70177184 -7.5526142504 1192.04954772 -0.363437323807 
1192.51950326 -7.11389710953 1194 -6 1200.07785335 -0.267139976717 1192.54072182 -0.341790171391 
1194.23246922 -7.48893045607 1197 -6 1214.36202893 -11.8960560689 1194.25595021 -0.359292260849 
1196.50682503 -6.76300484523 1199 -6 1234.14287074 5.24961399584 1196.52593811 -0.323848974242 
1196.21059967 -6.77288576333 1198 -8 1191.50581692 -6.92981889623 1196.22977339 -0.324402427803 
1195.36049809 -7.0 1194 -7 1181.22985782 -10.775160113 1195.38099383 -0.335518760044 
1195.74356431 -6.57035135763 1198 -4 1202.08018792 0.536831658278 1195.7616155 -0.314824704315 
1196.16270223 -6.4985064204 1204 -5 1203.08338499 -5.31222381429 1196.18035462 -0.311273146363 
1196.33296338 -6.16888922109 1192 -4 1198.15725566 -2.637149276 1196.34886821 -0.295442986882 
1196.04067613 -6.00519695322 1194 -6 1191.81520642 -3.63876896127 1196.05575178 -0.287673785839 
1196.31965315 -5.67011689973 1202 -5 1200.64229487 -0.478180154681 1196.33309021 -0.271558971893 
1198.00471429 -5.67145964925 1202 -6 1224.61229888 -5.69266203807 1198.01813881 -0.271241231511 
1199.78386212 -5.66988210008 1204 -6 1229.2399808 -5.64376371089 1199.79725927 -0.27076368221 
1199.39813342 -6.00080636144 1197 -7 1195.50368913 -9.34192695014 1199.41314489 -0.286658783125 
1197.42881754 -5.60102776785 1195 -7 1164.96627108 0.988992320463 1197.441917 -0.268001660626 
1200.25361606 -5.60102776785 1207 -7 1241.59512728 -5.60102776785 1200.26668469 -0.267370927522 
1200.11803983 -5.66760535 1197 -6 1198.50909913 -6.4577098095 1200.1314225 -0.2705795944 
1198.99864908 -6.0 1201 -6 1182.54049344 -10.8871253439 1199.01366152 -0.286715758861 
